,gauge_number,gauge_name
515,4234,Smoke Ranch at Buffalo RAIN (Rain)
516,4237,Carey/Lake Mead DB BATT (unknown type)
517,4238,Carey/Lake Mead DB WL (Water Level)
518,4239,Carey/Lake Mead DB RAIN (Rain)
519,4242,Oakey at Rainbow BATT (unknown type)
520,4244,Oakey at Rainbow RAIN (Rain)
521,4248,Oakey DB WL (Water Level)
522,4249,Oakey DB RAIN (Rain)
523,4253,Lower Gowan North DB WL (Water Level)
524,4254,Lower Gowan North DB RAIN (Rain)
525,4257,Gowan South DB BATT (unknown type)
526,4258,Gowan South DB WL (Water Level)
527,4259,Gowan South DB RAIN (Rain)
528,4263,Beltway at Lone Mtn DB WL (Water Level)
529,4264,Beltway at Lone Mtn DB RAIN (Rain)
530,4268,Lone Mountain DB WL (Water Level)
531,4269,Lone Mountain DB RAIN (Rain)
532,4270,Downtown Las Vegas WD (Wind Direction)
533,4271,Downtown Las Vegas SPD (Wind Speed)
534,4272,Downtown Las Vegas DPT (Dewpoint)
535,4274,Downtown Las Vegas RAIN (Rain)
536,4275,Downtown Las Vegas RH (Rel. Humidity)
537,4276,Downtown Las Vegas TEMP (Air Temp)
538,4278,Gowan North Channel WL (Water Level)
539,4279,Gowan North Channel RAIN (Rain)
540,4282,Las Vegas Wash at Lamb BATT (unknown type)
541,4283,Las Vegas Wash at Lamb WL (Water Level)
542,4284,Las Vegas Wash at Lamb RAIN (Rain)
543,4288,Freeway Channel near Charleston WL (Water Level)
544,4289,Freeway Channel near Charleston RAIN (Rain)
545,4292,Meadows DB BATT (unknown type)
546,4293,Meadows DB WL (Water Level)
547,4294,Meadows DB RAIN (Rain)
548,4297,Rainbow Curve DB BATT (unknown type)
549,4298,Rainbow Curve DB WL (Water Level)
550,4299,Rainbow Curve DB RAIN (Rain)
551,4300,Blue Diamond Ridge South WD (Wind Direction)
552,4301,Blue Diamond Ridge South SPD (Wind Speed)
553,4302,Blue Diamond Ridge South DPT (Dewpoint)
554,4303,Blue Diamond Ridge South BATT (unknown type)
555,4304,Blue Diamond Ridge South RAIN (Rain)
556,4305,Blue Diamond Ridge South RH (Rel. Humidity)
557,4306,Blue Diamond Ridge South TEMP (Air Temp)
558,4307,Blue Diamond Ridge South PK WND (Peak Wind)
559,4308,Desert Inn DB WL (Water Level)
560,4309,Desert Inn DB RAIN (Rain)
561,4314,Blue Diamond Ridge North RAIN (Rain)
562,4318,Beltway Channel at Town Center WL (Water Level)
563,4319,Beltway Channel at Town Center RAIN (Rain)
564,4322,Red Rock Canyon BATT (unknown type)
565,4324,Red Rock Canyon RAIN (Rain)
566,4327,Brownstone Canyon BATT (unknown type)
567,4329,Brownstone Canyon RAIN (Rain)
568,4334,Upper Flamingo 1 RAIN (Rain)
569,4338,Beltway Channel at Peace Way WL (Water Level)
570,4339,Beltway Channel at Peace Way RAIN (Rain)
571,4342,Red Rock DB Outlet WL (Water Level)
572,4343,Red Rock DB Basin WL (Water Level)
573,4344,Red Rock DB RAIN (Rain)
574,4348,Upper Flamingo DB WL (Water Level)
575,4349,Upper Flamingo DB RAIN (Rain)
576,4350,The Lakes WD (Wind Direction)
577,4351,The Lakes SPD (Wind Speed)
578,4352,The Lakes DPT (Dewpoint)
579,4354,The Lakes RAIN (Rain)
580,4355,The Lakes RH (Rel. Humidity)
581,4356,The Lakes TEMP (Air Temp)
582,4358,The Lakes DB WL (Water Level)
583,4359,The Lakes DB RAIN (Rain)
584,4363,Flamingo Wash at Torrey Pines Dr. WL (Water Level)
585,4364,Flamingo Wash at Torrey Pines Dr. RAIN (Rain)
586,4367,Lower Flamingo DB BATT (unknown type)
587,4368,Lower Flamingo DB WL (Water Level)
588,4369,Lower Flamingo DB RAIN (Rain)
589,4372,Flamingo Wash at Eastern BATT (unknown type)
590,4373,Flamingo Wash at Eastern Ave. WL (Water Level)
591,4374,Flamingo Wash at Eastern Ave. RAIN (Rain)
592,4378,Van Buskirk DB WL (Water Level)
593,4379,Van Buskirk DB RAIN (Rain)
594,4382,DI Super Arterial Pump Site BATT (unknown type)
595,4383,DI Super Arterial (CCPW) WL (Water Level)
596,4384,DI Super Arterial RAIN (Rain)
597,4385,DI Super Arterial (unknown type)
598,4386,Rio (Twain) Pump Site RAIN (Rain)
599,4387,Rio (Twain) Pump Site BATT (unknown type)
600,4388,Rio (Twain) Pump Site WL (Water Level)
601,4389,Rio (Twain) Pump Site RAIN (Old) (Rain)
602,4390,Rio pump site (unknown type)
603,4391,Flamingo Wash East of Nellis BATT (unknown type)
604,4392,Flamingo Wash at Nellis Blvd (USGS) Radar WL Old ID (Water Level)
605,4393,Flamingo Wash at Nellis Blvd (USGS) Radar WL (Water Level)
606,4394,Flamingo Wash at Nellis Blvd (USGS) RAIN (Rain)
607,4395,Flamingo Wash East of Nellis WL (Water Level)
608,4396,Flamingo Wash at Nellis Blvd (USGS) Bubbler WL (Water Level)
609,4398,Flamingo Wash at Mojave WL (Water Level)
610,4399,Flamingo Wash at Mojave RAIN (Rain)
611,4402,F-1 Debris Basin BATT (unknown type)
612,4403,F-1 Debris Basin WL (Water Level)
613,4404,F-1 Debris Basin RAIN (Rain)
614,4407,F-2 Debris Basin BATT (unknown type)
615,4408,F-2 Debris Basin WL (Water Level)
616,4409,F-2 Debris Basin RAIN (Rain)
617,4413,Blue Diamond DB WL (Water Level)
618,4414,Blue Diamond DB RAIN (Rain)
619,4417,F-4 Debris Basin BATT (unknown type)
620,4418,F-4 Debris Basin WL (Water Level)
621,4419,F-4 Debris Basin RAIN (Rain)
622,4423,F-1 Channel WL (Water Level)
623,4424,F-1 Channel RAIN (Rain)
624,4428,Naples Channel WL (Water Level)
625,4429,Naples Channel RAIN (Rain)
626,4433,Beltway Channel at Buffalo WL (Water Level)
627,4434,Beltway Channel at Buffalo RAIN (Rain)
628,4437,Blue Diamond Channel BATT (unknown type)
629,4438,Blue Diamond Channel WL (Water Level)
630,4439,Blue Diamond Channel RAIN (Rain)
631,4442,R-4 DB BATT (unknown type)
632,4443,R-4 DB WL (Water Level)
633,4444,R-4 DB RAIN (Rain)
634,4448,R-4 Channel WL (Water Level)
635,4449,R-4 Channel RAIN (Rain)
636,4452,Warm Springs at Jones BATT (unknown type)
637,4454,Warm Springs at Jones RAIN (Rain)
638,4457,Lower Blue Diamond DB BATT (unknown type)
639,4458,Lower Blue Diamond DB WL (Water Level)
640,4459,Lower Blue Diamond DB RAIN (Rain)
641,4462,Hualapai at Maule (F-3) DB BATT (unknown type)
642,4463,Hualapai at Maule (F-3) DB WL (Water Level)
643,4464,Hualapai at Maule (F-3) DB RAIN (Rain)
644,4472,Tropicana DB South Bay WL (Water Level)
645,4473,Tropicana DB North Bay WL (Water Level)
646,4474,Tropicana DB RAIN (Rain)
647,4477,Tropicana North Branch DB BATT (unknown type)
648,4478,Tropicana North Branch DB WL (Water Level)
649,4479,Tropicana North Branch DB RAIN (Rain)
650,4482,Tropicana Wash at University Center Drive BATT (unknown type)
651,4483,Tropicana Wash at University Center Drive WL (Water Level)
652,4484,Tropicana Wash at University Center Drive RAIN (Rain)
653,4503,Beltway Channel at Cheyenne WL (Water Level)
654,4504,Beltway Channel at Cheyenne RAIN (Rain)
655,4508,Fort Apache DB WL (Water Level)
656,4509,Fort Apache DB RAIN (Rain)
657,4512,CAM-10 DB BATT (unknown type)
658,4513,CAM-10 DB WL (Water Level)
659,4514,CAM-10 DB RAIN (Rain)
660,4517,Rancho DB BATT (unknown type)
661,4518,Rancho DB WL (Water Level)
662,4519,Rancho DB RAIN (Rain)
663,4522,Cheyenne PB BATT (unknown type)
664,4523,Cheyenne PB WL (Water Level)
665,4524,Cheyenne PB RAIN (Rain)
666,4527,Las Vegas Wash at LV Blvd BATT (unknown type)
667,4528,Las Vegas Wash at LV Blvd WL (Water Level)
668,4529,Las Vegas Wash at LV Blvd RAIN (Rain)
669,4533,Upper Las Vegas Wash 1 WL (Water Level)
670,4534,Upper Las Vegas Wash 1 RAIN (Rain)
671,4537,Beltway Channel at Aliante BATT (unknown type)
672,4538,Beltway Channel at Aliante WL (Water Level)
673,4539,Beltway Channel at Aliante RAIN (Rain)
674,4540,Las Vegas Wash at Pabco Rd BATT (unknown type)
675,4542,Las Vegas Wash at Pabco Rd (Bubbler) (Water Level)
676,4543,Las Vegas Wash at Pabco Rd (Float) (Water Level)
677,4544,Las Vegas Wash at Pabco Rd RAIN (Rain)
678,4547,NE C-1 DB BATT (unknown type)
679,4548,NE C-1 DB WL (Water Level)
680,4549,NE C-1 DB RAIN (Rain)
681,4553,Lower C-1 Channel (USGS) WL (Water Level)
682,4554,Lower C-1 Channel (USGS) RAIN (Rain)
683,4557,Beltway Channel at Tenaya BATT (unknown type)
684,4558,Beltway Channel at Tenaya WL (Water Level)
685,4559,Beltway Channel at Tenaya RAIN (Rain)
686,4563,Pittman Railroad Channel WL (Water Level)
687,4564,Pittman Railroad Channel RAIN (Rain)
688,4567,Beltway Channel W. of Revere BATT (unknown type)
689,4568,Beltway Channel W. of Revere WL (Water Level)
690,4569,Beltway Channel W. of Revere RAIN (Rain)
691,4573,Flamingo Wash at Spencer WL (Water Level)
692,4574,Flamingo Wash at Spencer RAIN (Rain)
693,4577,Skye Canyon 1 DB BATT (unknown type)
694,4578,Skye Canyon 1 DB WL (Water Level)
695,4579,Skye Canyon 1 DB RAIN (Rain)
696,4598,Las Vegas Wash at The Club at Sunrise Radar (USGS) WL (Water Level)
697,4599,Las Vegas Wash at The Club at Sunrise (USGS) RAIN (Rain)
698,4607,Cactus near Durango BATT (unknown type)
699,4609,Cactus near Durango RAIN (Rain)
700,4612,Arden BATT (unknown type)
701,4614,Arden RAIN (old) (Rain)
702,4618,Lower Duck Creek DB WL (Water Level)
703,4619,Lower Duck Creek DB RAIN (Rain)
704,4623,Duck Creek at Paradise WL (Water Level)
705,4624,Duck Creek at Paradise RAIN (Rain)
706,4627,Duck Creek at JoRae BATT (unknown type)
707,4628,Duck Creek at JoRae WL (Water Level)
708,4629,Duck Creek at JoRae RAIN (Rain)
709,4633,Duck Creek at Eastern WL (Water Level)
710,4634,Duck Creek at Eastern RAIN (Rain)
711,4637,Upper Duck Creek DB BATT (unknown type)
712,4638,Upper Duck Creek DB WL (Water Level)
713,4639,Upper Duck Creek DB RAIN (Rain)
714,4640,NWS Offices WD (Wind Direction)
715,4641,NWS Offices SPD (Wind Speed)
716,4642,NWS Offices DPT (Dewpoint)
717,4644,NWS Offices RAIN (Rain)
718,4645,NWS Offices RH (Rel. Humidity)
719,4646,NWS Offices TEMP (Air Temp)
720,4647,Duck Creek Railroad DB BATT (unknown type)
721,4648,Duck Creek Railroad DB WL (Water Level)
722,4649,Duck Creek Railroad DB RAIN (Rain)
723,4650,Tortoise Center WD (Wind Direction)
724,4651,Tortoise Center SPD (Wind Speed)
725,4652,Tortoise Center DPT (Dewpoint)
726,4654,Tortoise Center RAIN (Rain)
727,4655,Tortoise Center RH (Rel. Humidity)
728,4656,Tortoise Center TEMP (Air Temp)
729,4657,Duck Creek above Sunset BATT (unknown type)
730,4658,Duck Creek above Sunset WL (Water Level)
731,4659,Duck Creek above Sunset RAIN (Rain)
732,4667,Central Duck Creek DB BATT (unknown type)
733,4668,Central Duck Creek DB WL (Water Level)
734,4669,Central Duck Creek DB RAIN (Rain)
735,4673,Duck Creek near Tomiyasu WL (Water Level)
736,4674,Duck Creek near Tomiyasu RAIN (Rain)
737,4682,Duck Creek above Mountain Vista BATT (unknown type)
738,4683,Duck Creek above Mountain Vista WL (Water Level)
739,4684,Duck Creek above Mountain Vista RAIN (Rain)
740,4693,Duck Creek at Broadbent WL (Water Level)
741,4694,Duck Creek at Broadbent RAIN (Rain)
742,4700,Sloan at I-15 WD (Wind Direction)
743,4701,Sloan at I-15 SPD (Wind Speed)
744,4702,Sloan at I-15 DPT (Dewpoint)
745,4704,Sloan at I-15 RAIN (Rain)
746,4705,Sloan at I-15 RH (Rel. Humidity)
747,4706,Sloan at I-15 TEMP (Air Temp)
748,4707,Headworks DB BATT (unknown type)
749,4708,Headworks DB WL (Water Level)
750,4709,Headworks DB RAIN (Rain)
751,4712,Pittman Pecos BATT (unknown type)
752,4713,Pittman Pecos WL (Water Level)
753,4714,Pittman Pecos RAIN (Rain)
754,4717,Pittman East DB BATT (unknown type)
755,4718,Pittman East DB WL (Water Level)
756,4719,Pittman East DB RAIN (Rain)
757,4723,Anthem DB WL (Water Level)
758,4724,Anthem DB RAIN (Rain)
759,4728,McCullough Hills DB WL (Water Level)
760,4729,McCullough Hills DB RAIN (Rain)
761,4733,Pittman Wash at Wigwam WL (Water Level)
762,4734,Pittman Wash at Wigwam RAIN (Rain)
763,4738,UPRR Channel WL (Water Level)
764,4739,UPRR Channel RAIN (Rain)
765,4743,Headworks Channel WL (Water Level)
766,4744,Headworks Channel RAIN (Rain)
767,4747,Pittman Wash at Stephanie BATT (unknown type)
768,4748,Pittman Wash at Stephanie WL (Water Level)
769,4749,Pittman Wash at Stephanie RAIN (Rain)
770,4750,Horizon Ridge DB BATT (unknown type)
771,4751,Horizon Ridge DB WL (Water Level)
772,4752,Horizon Ridge DB RAIN (Rain)
773,4753,Equestrian DB WL (Water Level)
774,4754,Equestrian DB RAIN (Rain)
775,4758,Pittman Park DB WL (Water Level)
776,4759,Pittman Park DB RAIN (Rain)
777,4763,Mission Hills DB WL (Water Level)
778,4764,Mission Hills DB RAIN (Rain)
779,4767,Borman WD (Wind Direction)
780,4768,Pioneer DB WL (Water Level)
781,4769,Pioneer DB RAIN (Rain)
782,4770,Borman PK WND (Peak Wind)
783,4771,Borman SPD (Wind Speed)
784,4772,Borman DPT (Dewpoint)
785,4773,Borman BATT (unknown type)
786,4774,Borman RAIN (Rain)
787,4775,Borman RH (Rel. Humidity)
788,4776,Borman TEMP (Air Temp)
789,4778,C-1 Channel near Boulder Hwy WL (Water Level)
790,4779,C-1 Channel near Boulder Hwy RAIN (Rain)
791,4783,C-1 Channel at Warm Springs (USGS) WL (Water Level)
792,4784,C-1 Channel at Warm Springs (USGS) RAIN (Rain)
793,4789,East Henderson 2 RAIN (Rain)
794,4794,East Henderson 1 RAIN (Rain)
795,4797,East C-1 DB BATT (unknown type)
796,4798,East C-1 DB WL (Water Level)
797,4799,East C-1 DB RAIN (Rain)
798,4810,Nelson WD (Wind Direction)
799,4811,Nelson SPD (Wind Speed)
800,4812,Nelson DPT (Dewpoint)
801,4814,Nelson RAIN (Rain)
802,4815,Nelson RH (Rel. Humidity)
803,4816,Nelson TEMP (Air Temp)
804,4822,Veteran&#39;s DB BATT (unknown type)
805,4823,Veteran&#39;s DB WL (Water Level)
806,4824,Veteran&#39;s DB RAIN (Rain)
807,4829,Boulder City SW WD (Wind Direction)
808,4830,Boulder City SW PK WND (Peak Wind)
809,4831,Boulder City SW SPD (Wind Speed)
810,4832,Boulder City SW DPT (Dewpoint)
811,4833,Boulder City SW BATT (unknown type)
812,4834,Boulder City SW RAIN (4834) (Rain)
813,4835,Boulder City SW RH (Rel. Humidity)
814,4836,Boulder City SW TEMP (Air Temp)
815,4842,Bootleg Canyon DB BATT (unknown type)
816,4843,Bootleg Canyon DB WL (Water Level)
817,4844,Bootleg Canyon DB RAIN (Rain)
818,4850,Boulder City WD (Wind Direction)
819,4851,Boulder City SPD (Wind Speed)
820,4852,Boulder City DPT (Dewpoint)
821,4854,Boulder City RAIN (Rain)
822,4855,Boulder City RH (Rel. Humidity)
823,4856,Boulder City TEMP (Air Temp)
824,4912,Goodsprings 2 BATT (unknown type)
825,4914,Goodsprings 2 RAIN (Rain)
826,4920,Goodsprings 1 WD (Wind Direction)
827,4921,Goodsprings 1 SPD (Wind Speed)
828,4922,Goodsprings 1 DPT (Dewpoint)
829,4924,Goodsprings 1 RAIN (Rain)
830,4925,Goodsprings 1 RH (Rel. Humidity)
831,4926,Goodsprings 1 TEMP (Air Temp)
832,4939,Jean Southwest WD (Wind Direction)
833,4940,Jean Southwest PK WND (Peak Wind)
834,4941,Jean Southwest SPD (Wind Speed)
835,4942,Jean Southwest DPT (Dewpoint)
836,4943,Jean Southwest BATT (unknown type)
837,4944,Jean Southwest RAIN (Rain)
838,4945,Jean Southwest RH (Rel. Humidity)
839,4946,Jean Southwest TEMP (Air Temp)
840,4950,Jean Airport WD (Wind Direction)
841,4951,Jean Airport SPD (Wind Speed)
842,4952,Jean Airport DPT (Dewpoint)
843,4954,Jean Airport RAIN (Rain)
844,4955,Jean Airport RH (Rel. Humidity)
845,4956,Jean Airport TEMP (Air Temp)
846,4962,Jean SE BATT (unknown type)
847,4964,Jean SE RAIN (Rain)
848,4969,Jean SE3 WD (Wind Direction)
849,4970,Jean SE3 PK WND (Peak Wind)
850,4971,Jean SE3 SPD (Wind Speed)
851,4972,Jean SE3 DPT (Dewpoint)
852,4973,Jean SE3 BATT (unknown type)
853,4974,Jean SE3 RAIN (Rain)
854,4975,Jean SE3 RH (Rel. Humidity)
855,4976,Jean SE3 TEMP (Air Temp)
856,4979,Jean SE2 WD (Wind Direction)
857,4980,Jean SE2 PK WND (Peak Wind)
858,4981,Jean SE2 SPD (Wind Speed)
859,4982,Jean SE2 DPT (Dewpoint)
860,4983,Jean SE2 BATT (unknown type)
861,4984,Jean SE2 RAIN (Rain)
862,4985,Jean SE2 RH (Rel. Humidity)
863,4986,Jean SE2 TEMP (Air Temp)
864,4989,Primm WD (Wind Direction)
865,4990,Primm PK WND (Peak Wind)
866,4991,Primm SPD (Wind Speed)
867,4992,Primm DPT (Dewpoint)
868,4993,Primm BATT (unknown type)
869,4994,Primm RAIN (Rain)
870,4995,Primm RH (Rel. Humidity)
871,4996,Primm TEMP (Air Temp)
872,4999,Sandy Valley WD (Wind Direction)
873,5000,Sandy Valley PK WND (Peak Wind)
874,5001,Sandy Valley SPD (Wind Speed)
875,5002,Sandy Valley DPT (Dewpoint)
876,5003,Sandy Valley BATT (unknown type)
877,5004,Sandy Valley RAIN (Rain)
878,5005,Sandy Valley RH (Rel. Humidity)
879,5006,Sandy Valley TEMP (Air Temp)
880,5124,Searchlight RAIN (Rain)
881,5129,CalNevAri WD (Wind Direction)
882,5130,CalNevAri PK WND (Peak Wind)
883,5131,CalNevAri SPD (Wind Speed)
884,5132,CalNevAri DPT (Dewpoint)
885,5133,CalNevAri BATT (unknown type)
886,5134,CalNevAri RAIN (old) (Rain)
887,5135,CalNevAri RH (Rel. Humidity)
888,5136,CalNevAri TEMP (Air Temp)
889,5140,Searchlight SW WD (Wind Direction)
890,5141,Searchlight SW SPD (Wind Speed)
891,5142,Searchlight SW DPT (Dewpoint)
892,5144,Searchlight SW RAIN (Rain)
893,5145,Searchlight SW RH (Rel. Humidity)
894,5146,Searchlight SW TEMP (Air Temp)
895,5224,Laughlin 1 RAIN (Rain)
896,5234,Laughlin 3 RAIN (Rain)
897,5239,Laughlin 2 DIR (Wind Direction)
898,5240,Laughlin 2 PK WND (Peak Wind)
899,5241,Laughlin 2 SPD (Wind Speed)
900,5242,Laughlin 2 DPT (Dewpoint)
901,5243,Laughlin 2 BATT (unknown type)
902,5244,Laughlin 2 RAIN (Rain)
903,5245,Laughlin 2 RH (Rel. Humidity)
904,5246,Laughlin 2 TEMP (Air Temp)
905,5272,Hiko Springs DB BATT (unknown type)
906,5273,Hiko Springs DB WL (Water Level)
907,5274,Hiko Springs DB RAIN (Rain)
908,5633,Black Mountain DB WL (Water Level)
909,5634,Black Mountain DB RAIN (Rain)
910,6732,Winnick Ave Gate Control (unknown type)
911,6733,Winnick Ave Battery Voltage (unknown type)
912,6734,Winnick Ave Gate Local Control (unknown type)
913,6735,Winnick Ave Gate Remote Control (unknown type)
914,6738,Winnick Ave WL (Water Level)
915,7404,Fort Mojave (Mohave County) RAIN (Rain)
916,7405,Mohave Lakeview (Mohave County) RAIN (Rain)
917,7416,Golden Shores (Mohave County) WD (Wind Direction)
918,7419,Golden Shores (Mohave County) SPD (Wind Speed)
919,7420,Golden Shores (Mohave County) RAIN (Rain)
920,7431,Mount Tipton (Mohave County) RAIN (Rain)
921,7440,Archibald Wash (Mohave County) RAIN (Rain)
922,7443,Archibald Wash (Mohave County) WL (Water Level)
923,7468,Dolan Springs (Mohave County) Wind Direction (Wind Direction)
924,7469,Dolan Springs (Mohave County) Wind Speed (Wind Speed)
925,7470,Dolan Springs (Mohave County) RAIN (Rain)
926,7471,Dolan Springs (Mohave County) RH (Rel. Humidity)
927,7472,Dolan Springs (Mohave County) TEMP (Air Temp)
928,7473,Dolan Springs (Mohave County) DPT (Dewpoint)
929,7478,Mormon Well RAIN (Mohave County) (Rain)
930,7479,Mormon Well WL (Mohave County) (Water Level)
931,7495,Detrital Wash @ CR145 (Mohave County) RAIN (Rain)
932,7498,Detrital Wash @ CR145 (Mohave County) WL (Water Level)
933,7516,Figure 4 (Mohave County) RAIN (Rain)
934,7561,Scrub Peak (Mohave County) RAIN (Rain)
935,7567,Beaver Dam (Mohave County) DPT (Dewpoint)
936,7568,Beaver Dam (Mohave County) Wind Direction (Wind Direction)
937,7569,Beaver Dam (Mohave County) Wind Speed (Wind Speed)
938,7570,Beaver Dam (Mohave County) RAIN (Rain)
939,7571,Beaver Dam (Mohave County) RH (Rel. Humidity)
940,7572,Beaver Dam (Mohave County) TEMP (Air Temp)
941,7576,Beaver Dam (Mohave County) Wind Speed (Wind Speed)
942,7577,Beaver Dam Weather Station PK WND (Mohave County) (Peak Wind)
943,7588,Meadview (Mohave County) Wind Direction (Wind Direction)
944,7589,Meadview (Mohave County) Wind Speed (Wind Speed)
945,7590,Meadview Rain (Mohave County) RAIN (Rain)
946,7591,Meadview (Mohave County) RH (Rel. Humidity)
947,7592,Meadview (Mohave County) TEMP (Air Temp)
948,7593,Meadview (Mohave County) DP (Dewpoint)
949,7600,Union Pass (Mohave County) RAIN (Rain)
950,7601,Beaver Dam WL (Mohave County) (Water Level)
951,7605,Mt. Perkins (Mohave County) RAIN (Rain)
952,7607,Bullhead City (Mohave County) DP (Dewpoint)
953,7608,Bullhead City (Mohave County) Wind Direction (Wind Direction)
954,7609,Bullhead City (Mohave County) Wind Speed (Wind Speed)
955,7610,Bullhead City Rain (Mohave County) RAIN (Rain)
956,7611,Bullhead City (Mohave County) RH (Rel. Humidity)
957,7612,Bullhead City (Mohave County) TEMP (Air Temp)
958,7618,Catclaw Canyon RAIN (Mohave County) (Rain)
959,7625,CR 143 @ MP8 (Mohave County) RAIN (Rain)
960,7661,Black Wash (Mohave County) RAIN (Rain)
961,7665,CR 143 @ SR 93 (Mohave County) RAIN (Rain)
962,7678,Secret Pass Canyon Wash (Mohave County) RAIN (Rain)
963,7679,Secret Pass Canyon Wash (Mohave County) WL (Water Level)
964,7688,Valle Vista (Mohave County) Wind Direction (Wind Direction)
965,7690,Valle Vista (Mohave County) RAIN (Rain)
966,7691,Valle Vista (Mohave County) RH (Rel. Humidity)
967,7692,Valle Vista (Mohave County) TEMP (Air Temp)
968,7693,Valle Vista (Mohave County) Dewpoint (Dewpoint)
969,7696,Valle Vista (Mohave County) Wind Speed (Wind Speed)
970,7750,"Virgin River at Scenic, AZ (Mohave County) RAIN (Rain)"
971,7753,"Virgin River at Scenic, AZ (Mohave County) WL (Water Level)"
972,7776,Beaver Dam State Park (Mohave County) Wind Direction (Wind Direction)
973,7777,Beaver Dam State Park (Mohave County) DPT (Dewpoint)
974,7779,Beaver Dam State Park (Mohave County) Wind Speed (Wind Speed)
975,7780,Beaver Dam State Park (Mohave County) RAIN (Rain)
976,7781,Beaver Dam State Park (Mohave County) RH (Rel. Humidity)
977,7782,Beaver Dam State Park (Mohave County)TEMP (Air Temp)
978,7794,Carl Scrivens (Mohave County) RAIN (Rain)
979,9008,Mountain Pass RAIN (San Bernardino) (Rain)
980,30181,Boulder City SW Reset Count (unknown type)
981,438601,DI Super Arterial (unknown type)
982,438602,DI Super Arterial (unknown type)
983,438603,DI Super Arterial (unknown type)
984,438604,DI Super Arterial (unknown type)
985,438605,DI Super Arterial (unknown type)
986,438606,DI Super Arterial (unknown type)
987,438607,DI Super Arterial (unknown type)
988,438608,DI Super Arterial (unknown type)
989,438609,DI Super Arterial (unknown type)
990,438701,DI Super Arterial (unknown type)
991,438702,DI Super Arterial (unknown type)
992,438703,DI Super Arterial (unknown type)
993,438704,DI Super Arterial (unknown type)
994,438705,DI Super Arterial (unknown type)
995,438706,DI Super Arterial (unknown type)
996,438707,DI Super Arterial (unknown type)
997,438708,DI Super Arterial (unknown type)
998,438709,DI Super Arterial (unknown type)
999,438710,DI Super Arterial (unknown type)
1000,439101,Rio pump site (unknown type)
1001,439102,Rio pump site (unknown type)
1002,439103,Rio pump site (unknown type)
1003,439104,Rio pump site (unknown type)
1004,439105,Rio pump site (unknown type)
1005,439106,Rio pump site (unknown type)
1006,439107,Rio pump site (unknown type)
1007,439108,Rio pump site (unknown type)
1008,439109,Rio pump site (unknown type)
1009,439201,Rio pump site (unknown type)
1010,439202,Rio pump site (unknown type)
1011,439203,Rio pump site (unknown type)
1012,439204,Rio pump site (unknown type)
1013,439205,Rio pump site (unknown type)
1014,439206,Rio pump site (unknown type)
1015,439207,Rio pump site (unknown type)
1016,439208,Rio pump site (unknown type)
1017,439209,Rio pump site (unknown type)
1018,439210,Rio pump site (unknown type)
1019,673101,Winnick Ave Left Gate 1 Status (Gate)
1020,673102,Winnick Ave Left Gate 2 Status (Gate)
1021,673103,Winnick Ave Right Gate 1 Status (Gate)
1022,673104,Winnick Ave Right Gate 2 Status (Gate)
1023,900001,Line 1: Legacy ALERT
1024,900002,Line 3: Mojave County (Decoder IP Feed
1025,900003,Line 6: ALERT2 Freq. 1 (169.5125 MHz) (unknown type)
1026,900004,Line 8: ALERT2 Freq. 2 (169.4750 MHz) (unknown type)
1027,900005,Line 10: ALERT1 Freq. 1 (169.5125 MHz) (unknown type)
1028,900006,Line 14: ALERT1 Freq. 2 (169.4750 MHz) (unknown type)
1029,900007,Database Inserts (unknown type)
1030,900008,Database Updates (unknown type)
1031,900010,Angel Peak Repeater report count (log file SA count) (unknown type)
1032,900011,Mt Potosi Repeater report count (log file SA count) (unknown type)
1033,900012,Virgin Peak Repeater report count (log file SA count) (unknown type)
1034,900013,Wildcat Wash report count (log file SA count) (unknown type)
1035,900014,Spirit Mountain report count (log file SA count) (unknown type)
1036,900015,Boulder City Repeater report count (log file SA count) (unknown type)
1037,900016,Database Received Noise Level (unknown type)
1038,900017,Beacon Hill Repeater report count (log file SA count) (unknown type)
1039,900018,Scenic Tank Repeater report count (log file SA count) (unknown type)
1040,3001010,Angel Peak 5052 (HL) GPS Status (unknown type)
1041,3001080,Angel Peak 5052 (HL) Control (unknown type)
1042,3001081,Angel Peak 5052 (HL) Reset Count (unknown type)
1043,3001082,Angel Peak 5052 (HL) ALERT1 Receiver Count (unknown type)
1044,3001083,Angel Peak 5052 (HL) ALERT1 Repeater Count (unknown type)
1045,3001084,Angel Peak 5052 (HL) ALERT2 Receiver Count (unknown type)
1046,3001085,Angel Peak 5052 (HL) ALERT2 Repeater Count (unknown type)
1047,3001086,Angel Peak 5052 (HL) Network Receiver Count (unknown type)
1048,3001087,Angel Peak 5052 (HL) ALERT2 Transmit Count (unknown type)
1049,3001088,Angel Peak 5052 (HL) Network Repeater Count (unknown type)
1050,3001089,Angel Peak 5052 (HL) Network Transmit Count (unknown type)
1051,3001090,Angel Peak Repeater Latency (unknown type)
1052,3001091,Angel Peak Repeater A2X Noise Level (unknown type)
1053,3001092,Angel Peak Repeater A2 A2X Messages Sent (unknown type)
1054,3001093,Angel Peak Repeater A2 A2X Messages Received (unknown type)
1055,3001094,Angel Peak Repeater A2 A2X Internal Temperature (unknown type)
1056,3001095,Angel Peak Repeater A2X Battery Voltage (unknown type)
1057,3001096,Angel Peak Repeater A2X GPS Status (unknown type)
